"musicbrainz_id","track_title","channel","webpage_url"
"077bcd8c-d844-4f3a-8c18-606cb85d1059",Beyoncé - BREAK MY SOUL (Official Lyric Video),Beyoncé,https://www.youtube.com/watch?v=yjki-9Pthh0
"078af7df-cea9-4720-8a06-46d908a3b50b",Shit I'm Dreaming,Peter Cat Recording Co.,https://www.youtube.com/watch?v=i3gWl2D6jD4
"07bb7cd7-fd7a-4106-bff5-28eb150d1a3d",Harry Styles - Daylight (Official Video),Harry Styles,https://www.youtube.com/watch?v=-UJCMfuFtSQ
"07bff688-08e1-460e-a1fa-420f41fac29b",Fitter Happier,Radiohead,https://www.youtube.com/watch?v=O4SzvsMFaek
"08011b80-6485-4861-b153-7f3f7634bf08",One Direction - Where Do Broken Hearts Go (Audio),One Direction,https://www.youtube.com/watch?v=0Necz5glI4I
"0863470f-3aa2-4e12-b8d4-00cf27aa743d",Luke Bryan - Down To One (Official Music Video),Luke Bryan,https://www.youtube.com/watch?v=L6qMLN34Irw
"0876f8b3-6a22-4526-bfaf-df35634e4a57",Kanye West - Gold Digger ft. Jamie Foxx,Kanye West,https://www.youtube.com/watch?v=6vwNcNOTVzY
"08d829c0-a4a2-403f-855b-955d8751b37c",Frank Ocean - Close To You,Blonded,https://www.youtube.com/watch?v=ncqkC9Ob2ZI
"090d705e-58b2-4f34-b6b7-0ba567fd15df",One Direction - Clouds (Audio),One Direction,https://www.youtube.com/watch?v=VyotcwmZE3w
"09425f33-5824-4aed-bea8-f3c84bd4ed31",Freezing,Peter Cat Recording Co.,https://www.youtube.com/watch?v=ltJlPfI4JHA
"09532a6e-7b46-4f6f-a36f-c0b896328e5f",SZA - Smoking on my Ex Pack (Audio),SZA,https://www.youtube.com/watch?v=0pWcpuyYrRk
"0963a17b-fcbb-40f1-8645-61318f6b5b6f",Ariana Grande - everytime (Official Audio),Ariana Grande,https://www.youtube.com/watch?v=MYvjW3zdCws
